municipio;aprovechamiento viable (sí/no);calidad del agua urbana - irca (%);cobertura acueducto rural (%);cobertura acueducto urbano (%);cobertura alcantarillado rural (%);cobertura alcantarillado urbano (%);cobertura aseo rural (%);cobertura aseo urbano (%);continuidad acueducto urbano (hora/día);disposición final adecuada (sí/no);población rural (número de habitantes);población urbana (número de habitantes);porcentaje de aguas residuales tratadas (%);porcentaje de aprovechamiento (%)
ABEJORRAL;SI;0,0050;47%***;98%*;44.52%****;95%**;8.59%;1;24H/D;SI;12237;8365;0,6;23.15%
ABRIAQUI;Sí;0,1019;40;100;4,9;100;0;100;24;Sí;1788;625;98;20
ALEJANDRIA;SI;0,0075;78.5;1;0;0,98;0;1;24h;SI;1700;3702;0,98;0,64
AMAGA;No;0,0069;92.36 %;1;87.5 %;0,96;0,88;1;23 H/DIA;No;19404;16936;0;0
AMALFI;Sí;0,0000;12.6;100;2;93,08;39;100;24;Sí;10981;27846;86;18.09
ANDES;Sí;0,0021;40;98,9;0;88;49;100;23,86666667;Sí;22175;23621;85;41
ANGELOPOLIS;NO;0,0070;83.13;100;49.42;90;55;100;24;SI;3442;2640;73;0
ANGOSTURA;SI;0,0000;22;100;54;94;15;100;24;SI;2658;9310;94;30
ANORI;NO;0,0031;9;74,59;0;61,6;71;100;24;SI;10341;9334;0;0
ANZA;SI;0,0305;0,31;100;0,22;92;0,37;100;22;SI;5752;1260;42;9
APARTADO;NO;0,0004;0,72;0,9838;0,6;0,9298;0,9;1;24/HRS DIA;SI;29023;124280;0;0
ARBOLETES;SI;0,0400;0,35;1;0,25;0,95;0,1;1;24;SI;19775;12417;0,95;0,1
ARGELIA;si;0,0074;0;0,95;0;0,91;0;1;24;si;3968;4056;0,85;0,39
ARMENIA;No;0,0000;70;100;0;95.07;30;100;24;Sí;2788;3084;0;0
BARBOSA;SI;0,0000;0,536;0,955;0,195;0,936;0,88;1;24/7;SI;26886;8085;0,0751;0,059
BELMIRA;si;0,0030;0,6;0,98;0,3;0,98;0,6;1;24 horas/día;No;4281;1835;0;0,09
BETANIA;si;0,0000;0,33;1;0,12;0,94;0,38;1;24 horas;si;6518;4374;0,85;0,35
BETULIA;SI;0,0000;0,82;1;0,0883;0,8;0,16;1;24;SI;11092;5393;0,68;0,332
BRICEÑO;SI;0,0361;15;95;28;90;20;100;24;SI;5288;3288;0;50
BURITICA;NO;0,0161;0,9;0,99;0,85;0,99;0,3;0,99;23;SI;7264;2370;0,95;0
CACERES;NO;0,0080;25;80;31;57;52;100;24;SI;23648;7512;65;0
CAICEDO;NO;0,0067;0,86;0,99;0,09;0,98;0,05;0,98;24h/DIA;SI;6599;2271;0;0,1
CALDAS;SI;0,0000;80;100;45;78;50;100;24;SI;17273;68103;60;15
CAMPAMENTO;SÍ;0,0010;0,05;0,28;0;0,5;0;0,95;24 HORAS;SÍ;6592;2651;0,42;0,95
CARAMANTA;SÍ;0,0073;0;1;0;0,9822;0;1;24 HORAS;SÍ;2553;2190;1;0,305
CAROLINA DEL PRINCIPE;SI;0,0000;61,72;100;53,53;87,5;6,6;100;24/7;SI;933;3241;0;35
CHIGORODO;SÍ;0,0001;0,0162;0,9406;0,0162;0,791;0,9;1;23,87;SÍ;8981;52760;0;0,2
